State Name,Year,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft(Total),Monsoon Recharge Rainfall,Monsoon Recharge Other,Non-Monsoon Recharge Rainfall,Non-Monsoon Recharge Other,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Projected Demand for Domestic & Industrial Use Upto 2025,Groundwater Availability for Futur Irrigation Use,Stage of Goundwater Development (%)
Goa,2020,0.054,0.02,0.08,0.34,0.02,0.003,0.04,0.4,0.08,0.32,0.05,0.24,23.48
Gujarat,2020,0.65,12.65,13.3,19.59,2.89,0,4.32,26.81,1.9,24.91,0.78,12.52,53.39
Himachal Pradesh,2020,0.15,0.2,0.36,0.66,0.13,0.13,0.14,1.07,0.1,0.97,0.1,0.62,36.83
Jharkhand,2020,0.71,0.93,1.64,4.91,0.43,0.47,0.35,6.15,0.51,5.64,0.52,4.02,29.13
Meghalaya,2020,0.05,0.03,0.08,1.66,0.01,0.36,0.01,2.04,0.22,1.82,0.06,1.73,4.22
Sikkim,2020,0.012,0,0.01,0.96,0,0,0,0.96,0.1,0.86,0.01,0.85,0.86
Tripura,2020,0.08,0.02,0.1,0.85,0.06,0.34,0.22,1.47,0.22,1.24,0.09,1.14,7.94
Uttarakhand,2020,0.24,0.63,0.87,1.29,0.31,0.1,0.32,2.02,0.17,1.85,0.16,0.98,46.8
Uttar Pradesh,2020,4.74,41.29,46.03,37.75,13.16,1.3,19.99,72.2,5.32,66.88,5.38,21.53,68.83
West Bengal,2020,1,10.84,11.84,18.71,1.51,5.26,3.85,29.33,2.77,26.56,1.53,14.19,44.6
Andaman & Nicobar Island,2020,0.011,0,0.01,0.32,0,0,0,0.32,0.03,0.28,0.01,0.28,2.6
Daman & Diu,2020,0.03,0.003,0.03,0.03,0.001,0,0.001,0.03,0.001,0.03,0.02,0,113.38
Haryana,2020,1.15,10.47,11.61,3.24,2.81,0.58,2.9,9.53,0.9,8.63,0.57,0.97,134.56
Tamil Nadu,2020,1.16,13.52,14.67,6.83,9.04,1.26,2.45,19.59,1.9,17.69,1.52,5.65,82.93
Maharashtra,2020,1.343,15.29,16.63,20.66,2.38,0.53,8.45,32.01,1.76,30.25,1.34,14.2,54.99
Telangana,2020,0.87,7.13,8.01,7.5,3.29,1.1,4.75,16.63,1.6,15.03,0.74,7.14,53.32
